File,compression_ratio mixture lossless,compression_ratio mixture all-iframe,compression_ratio mixture with-pframe,compression_ratio vocals lossless,compression_ratio vocals all-iframe,compression_ratio vocals with-pframe,compression_ratio drums lossless,compression_ratio drums all-iframe,compression_ratio drums with-pframe,compression_ratio repet-fg lossless,compression_ratio repet-fg all-iframe,compression_ratio repet-fg with-pframe,compression_ratio repet-bg lossless,compression_ratio repet-bg all-iframe,compression_ratio repet-bg with-pframe,compression_ratio sum with-pframe,peaq mixture lossless,peaq mixture all-iframe,peaq mixture with-pframe,peaq vocals lossless,peaq vocals all-iframe,peaq vocals with-pframe,peaq drums lossless,peaq drums all-iframe,peaq drums with-pframe,peaq repet-fg lossless,peaq repet-fg all-iframe,peaq repet-fg with-pframe,peaq repet-bg lossless,peaq repet-bg all-iframe,peaq repet-bg with-pframe,peaq sum with-pframe,desirability mixture lossless,desirability mixture all-iframe,desirability mixture with-pframe,desirability vocals lossless,desirability vocals all-iframe,desirability vocals with-pframe,desirability drums lossless,desirability drums all-iframe,desirability drums with-pframe,desirability repet-fg lossless,desirability repet-fg all-iframe,desirability repet-fg with-pframe,desirability repet-bg lossless,desirability repet-bg all-iframe,desirability repet-bg with-pframe,desirability sum with-pframe
0,0.9479390482,0.9258204851,0.8934601303,0.8792336749,0.8641532135,0.8221763127,0.5583122825,0.5320816715,0.5129183108,0.9402695812,0.8944995763,0.7934528512,0.9352428949,0.9143029987,0.8726982661,0.8835989212,0.1594592743,0.1540481193,0.1292493148,0.1540271646,0.1474462864,0.0415511133,0.0566508791,-0.021425461,-0.532691283,0.1422205855,0.1249463318,-0.112888821,0.1557724268,0.1509785159,0.1149482759,0.1269999791,0.0420542003,0.0415977292,0.036165384,0.0437958557,0.0426562918,0.0126344899,0.0253670217,-0.01006681,-0.259637486,0.0378137793,0.0349207353,-0.03556885,0.0416395643,0.0412824075,0.032928986,0.0359325866
1,0.939779774,0.9131889989,0.8209205965,0.9038510846,0.8880889804,0.6823661659,0.7537689604,0.7405016854,0.4785415388,0.887488451,0.8166420234,0.6697920318,0.9217754538,0.8965578018,0.7777951237,0.7972185736,0.1263849811,0.1120986659,-0.638430851,0.1270788083,0.1160104274,-1.416116485,0.0949386376,0.0698523562,-2.075997665,0.1037862375,0.079675146,-0.418825743,0.1243798356,0.1131202786,-0.868299714,-0.707205829,0.0336209037,0.0306887912,-0.194425275,0.0351492659,0.0326573209,-0.518825726,0.0314879766,0.023582781,-1.084544129,0.0292359403,0.0243910868,-0.156326786,0.0337337676,0.0315429408,-0.279090112,-0.221772878
2,0.9532998445,0.917057384,0.8541537839,0.6776785691,0.6647842523,0.5731314033,0.7481205082,0.7371677012,0.6789997705,0.9155983507,0.8342003811,0.7387012592,0.9344850706,0.9049957322,0.8264571638,0.8303287725,0.1636985438,0.1540692438,0.1368782603,0.1538498376,0.1511933293,-0.046237235,0.1480466587,0.111705101,-0.051074075,0.1460179133,0.128274524,-0.280427729,0.1587075223,0.1464154577,0.1184013087,0.1311933124,0.0429294478,0.0420009823,0.0400625341,0.0567561985,0.0568580441,-0.020168688,0.0494728647,0.0378832051,-0.018804894,0.0398695326,0.0384423595,-0.094905662,0.0424585495,0.0404464498,0.0358159242,0.0395004114
3,0.913786232,0.8911697769,0.8608365898,0.7260207522,0.7176287793,0.673281358,0.8208915464,0.8140653464,0.6331004809,0.8830303241,0.8032946418,0.7280662019,0.8927447457,0.8701888064,0.833715562,0.8185051019,0.1691167399,0.1679879114,0.1648419696,0.1635402623,0.1624083338,-0.006111519,0.1658681533,0.164828739,0.1343184978,0.1667458309,0.1645176716,0.1377575221,0.1604795127,0.1572711569,0.1488787416,0.1640409543,0.0462681352,0.0471256756,0.0478726077,0.0563139076,0.0565781148,-0.002269303,0.0505146368,0.0506190135,0.0530399604,0.0472084102,0.0512009116,0.0473025398,0.0449399208,0.0451830556,0.0446431458,0.0501038277
4,0.9390173903,0.9292706983,0.9214872986,0.8995060446,0.8859465259,0.8611361269,0.940476912,0.9354395437,0.8896731856,0.9463691641,0.8869675239,0.8540154883,0.922143388,0.9135391417,0.9013568226,0.8941621733,0.1681236652,0.1675926739,0.1346973479,0.1565542202,0.1544828742,0.0900886895,0.1598913012,0.1590740752,-1.08855765,0.1401739588,0.1317794241,-0.193503685,0.1668808463,0.16620777,0.1367804119,0.1387101666,0.0447605303,0.0450871512,0.036543463,0.043511164,0.0435926068,0.026154021,0.0425027183,0.0425131897,-0.305886945,0.0370294078,0.0371432495,-0.056645251,0.0452426511,0.0454845782,0.0379373652,0.0387821613
5,0.9011595863,0.8778841716,0.8647579836,0.8494177484,0.8230929244,0.7100063905,0.7814230789,0.7754893893,0.823502592,0.903082029,0.8362501512,0.815814997,0.8877190224,0.869179841,0.8488928459,0.8425714986,0.1693602114,0.1681653059,0.1670093716,0.1500305945,0.1408245093,-1.748567011,0.1706276144,0.1702547635,0.1661307149,0.1599906555,0.152117573,0.1200328628,0.1661068077,0.1658895357,0.1613393772,0.1661052445,0.0469839677,0.0478893775,0.0482821133,0.044156893,0.042772968,-0.615687068,0.054588743,0.0548862324,0.0504341809,0.0442901781,0.0454760973,0.0367831136,0.0467791056,0.0477143877,0.0475146475,0.0492852075
6,0.9229119118,0.9012410788,0.8765524519,0.419459885,0.4123470003,0.3637857913,0.8923150709,0.8870209618,0.8554229387,0.9156467978,0.8572836045,0.8025487482,0.9101517554,0.8949333211,0.8582399542,0.8577617793,0.1487394589,0.135411268,-0.025832752,0.0856668621,0.0847728011,-0.529655458,0.1516028684,0.1485346828,-0.543373265,0.1312146456,0.1222233613,-0.520404873,0.1495399188,0.1409548477,-0.027811486,-0.027838753,0.0402908059,0.0375624434,-0.007367714,0.0510578396,0.0513965186,-0.363988555,0.0424745903,0.0418633519,-0.158802517,0.0358256715,0.0356426277,-0.162110051,0.0410755453,0.039375796,-0.008101314,-0.008113777
7,0.938109227,0.8715048367,0.8692860613,0.5515295531,0.5472933309,0.5062200608,0.8549189148,0.8452290569,0.8167282602,0.9316191811,0.8221095586,0.7860034069,0.9261128925,0.8654339319,0.8555721925,0.8388408755,0.1688041264,0.1664889988,0.1666698158,0.1656561476,0.165416843,0.0832841397,0.1692652664,0.1685804803,0.163190668,0.1612476597,0.1449575679,0.0922964306,0.1649962812,0.1630942586,0.16104515,0.165642738,0.0449852004,0.0477590576,0.0479329599,0.0750894248,0.0755613278,0.0411304027,0.0494974621,0.0498623654,0.0499525595,0.0432708082,0.0440809763,0.0293562438,0.0445400022,0.0471134343,0.0470577327,0.0493665553
8,0.9426246209,0.930868949,0.9078578761,0.9303025307,0.918039645,0.7219812949,0.9460317144,0.9403314285,0.8919002064,0.933499821,0.902897456,0.8761903367,0.9313362724,0.9200161127,0.8928599741,0.897878715,0.1678189937,0.1667578996,0.1656617853,0.1622737653,0.1606913256,0.0477254117,0.1675099168,0.1671432173,0.1279740263,0.1569897645,0.1522800981,0.08848875,0.1655910107,0.164893765,0.1608100085,0.1640338553,0.0445084369,0.0447855468,0.0456188655,0.0436077942,0.0437593644,0.0165258477,0.0442664644,0.0444373154,0.035871173,0.0420433301,0.0421642837,0.0252481528,0.0444498447,0.0448073036,0.0450266596,0.0456726094
9,0.947305521,0.9268057636,0.8275992605,0.9365739773,0.9208629632,0.7160266695,0.9139416109,0.9007150315,0.6232368397,0.8593623321,0.7728718398,0.6945904017,0.9332253362,0.915461447,0.8075268042,0.790199322,0.1580331004,0.1540793801,0.0901188493,0.1377810699,0.1250204199,-1.087428381,0.1540626947,0.1485492709,-0.038291759,0.1186699028,0.0947996411,-0.503675297,0.154186834,0.1504926384,0.0797224328,0.0865216707,0.0417059483,0.0415619395,0.027222973,0.0367779463,0.0339411033,-0.379674538,0.0421423789,0.0412309292,-0.015360035,0.0345226624,0.0306647352,-0.181285005,0.0413048243,0.0410974812,0.0246810485,0.0273733691
