File,input-type,frame_type,compression_ratio,peaq,desirability,i-rate,mean-ref,p-ratio,quantile-25,quantile-50,quantile-75,std-ref
0,mixture,with-pframe,0.9182569838304111,0.15060070170204964,0.041001784999727113,0.10000000000000001,1.355548223908501,0.74969082364580752,1,1,2,0.62478524559459936
0,mixture,with-pframe,0.89617489682840545,0.13349906028440239,0.037241352317739618,1,9.2461798227100047,0.97658504410915992,2,6,14,8.9947977067943334
0,mixture,with-pframe,0.8934601303345584,0.12924931480674173,0.036165383999380026,2,18.487318538294677,0.98821007502679525,4,12,28,17.896266932891542
0,mixture,with-pframe,0.89114112469840845,0.12713067946448264,0.035665136514575022,5,46.323999668627287,0.99521807238849036,10,31,69,46.067962096723726
0,vocals,with-pframe,0.85136623250801424,0.11004889307203625,0.032315379935802281,0.10000000000000001,1.342775529635801,0.69271992744661559,1,1,2,0.61470577052690656
0,vocals,with-pframe,0.82622225285600037,0.059716802662466595,0.018069230904893832,1,9.4700831277975706,0.90254761315854559,2,7,14,9.0023339351890925
0,vocals,with-pframe,0.82217631271017999,0.04155111334608419,0.012634489921364076,2,19.232213795594078,0.91318327974276525,4,13,30,18.278326355220145
0,vocals,with-pframe,0.8178917082343059,0.019877943511424245,0.0060759704834083307,5,48.581009593831254,0.91953170088218317,11,34,74,46.297581666087432
0,drums,with-pframe,0.62799582514568675,-0.34218076359624217,-0.13621936241250518,0.10000000000000001,1.220840243228303,0.59658669304971557,1,1,1,0.52902191989072789
0,drums,with-pframe,0.53728711447739119,-0.61357274124411676,-0.28549574552933726,1,10.36998514115899,0.77681589578695687,3,9,15,8.65726463309257
0,drums,with-pframe,0.51291831077187777,-0.53269128251120268,-0.25963748579650486,2,19.140879051715096,0.78596751587105285,6,13,28,17.229082016107352
0,drums,with-pframe,0.52341591784793695,-0.1820206534253197,-0.086938822081353104,5,43.850239533430532,0.79165636078819357,11,30,64,42.867190071584034
0,repet-fg,with-pframe,0.86219784081250228,0.056838798996510231,0.016480787907954954,0.10000000000000001,1.2393711248892825,0.74466155495094399,1,1,1,0.55960883584640675
0,repet-fg,with-pframe,0.80247289742683781,-0.087014236069462569,-0.027108154165853226,1,8.6810879728006807,0.969989281886388,1,5,13,9.0084789925348439
0,repet-fg,with-pframe,0.79345285123353382,-0.11288882059399352,-0.035568849623040612,2,17.716925661486769,0.98153186577623874,3,12,27,17.895116613542406
0,repet-fg,with-pframe,0.78473089388971007,-0.18456636707267826,-0.058799254785876352,5,44.970222704145463,0.98845741611014926,8,29,69,45.70500409409695
0,repet-bg,with-pframe,0.90088223670670275,0.14402694445292363,0.039968305119277764,0.10000000000000001,1.3978671943711523,0.74993816472916153,1,1,2,0.63702103806949717
0,repet-bg,with-pframe,0.87584518898124475,0.12035607402664494,0.034354265896761764,1,9.5102574926129169,0.97658504410915992,2,6,15,9.1188207477179866
0,repet-bg,with-pframe,0.87269826612457768,0.11494827585206524,0.032928985972013027,2,19.025362923410647,0.98821007502679525,4,13,30,18.090107373594918
0,repet-bg,with-pframe,0.86979475833867725,0.10903043555269543,0.031337977869901577,5,47.693977300969266,0.99521807238849036,10,33,73,46.732166810540676
0,sum,with-pframe,0.89769090650252403,0.14786319013128546,0.041178759041731954,0.10000000000000001,1.3978671943711523,0.74993816472916153,1,1,2,0.63702103806949717
0,sum,with-pframe,0.88517238263979492,0.13054042934182375,0.036868646125323375,1,9.5102574926129169,0.97658504410915992,2,6,15,9.1188207477179866
0,sum,with-pframe,0.88359892121146144,0.12699997909237526,0.035932586619235422,2,19.025362923410647,0.98821007502679525,4,13,30,18.090107373594918
0,sum,with-pframe,0.88214716731851128,0.12181151198659323,0.034521312457667146,5,47.693977300969266,0.99521807238849036,10,33,73,46.732166810540676
1,mixture,with-pframe,0.87067262889551622,-0.0083432899869122501,-0.0023956449617280533,0.10000000000000001,1.3615236523652365,0.74226804123711343,1,1,2,0.62322954055600077
1,mixture,with-pframe,0.82575822827058276,-0.27269531241331491,-0.082559066042984269,1,8.810031678986272,0.96662243543942028,2,5,13,9.0282394402651907
1,mixture,with-pframe,0.82092059652594096,-0.63843085068602878,-0.19442527492543382,2,17.023374726077428,0.97815657854445237,3,10,26,18.132527659711577
1,mixture,with-pframe,0.81588039574333859,-0.8433521066221128,-0.25841781191891033,5,44.474093264248708,0.98499540675717057,7,26,69,47.757769650619828
1,vocals,with-pframe,0.77261376265209125,-0.17929124384837403,-0.058014512721380633,0.10000000000000001,1.368502824858757,0.72267020516484637,1,1,2,0.62949806589359092
1,vocals,with-pframe,0.69058805632216769,-0.94373423793320566,-0.34164152901774997,1,8.4276108881900011,0.94120649178319893,1,5,12,8.9942982232029056
1,vocals,with-pframe,0.68236616586655885,-1.4161164851617558,-0.51882572583423148,2,16.67270389025828,0.95243441869960188,2,9,26,18.587313002686198
1,vocals,with-pframe,0.67332771882141507,-1.7918179722879972,-0.66528449750456375,5,44.160689581781419,0.9591711748494437,5,25,69,48.589595030307365
